"HUMAN_CONDITION","ROAD_CLASS","HIT_AND_RUN","TRAIN","PEDESTRIAN","INTERSECTION","MANNER_OF_COLLISION","ROADWAY_SURFACE","ROADWAY_DESIGN","ALIGNMENT","PRIMARY_FACTOR","SECONDARY_FACTOR","WEATHER","LOCATION_TYPE","ROADWAY_RELATION","ACCESS_CONTROL","LIGHTING"
"NONE","U.S. HWY","TRUE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","LEFT TURN","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"INJURY","CITY STREET","TRUE","FALSE","FALSE","TRUE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","TRUE","FALSE","FALSE","TRUE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","NON-COLLISION WITH MOTOR VEHICLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","SIDESWIPE SAME","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - NO STREET LIGHTS"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","ROAD SURFACE","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","TRUE","FALSE","FALSE","FALSE","OTHER","UNKNOWN","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","OTHER","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","TRUE","OTHER","DRY","ONE-WAY ROAD","OTHER","VIOLATIONS","VIOLATIONS","CLEAR","OTHER","OTHER","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","SIDESWIPE SAME","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
